num_iter_one,t_setup_one,t_solve_one,t_iter_one,t_total_one,num_iter_avg,t_setup_avg,t_solve_avg,t_iter_avg,t_total_avg,ranks,cores,total_cores
10.0,15.637,0.564,0.056,16.201,13.7,15.325,0.770,0.056,16.095,192,1,192
25.0,16.094,2.123,0.085,18.217,33.6,13.065,2.915,0.087,15.981,192,1,192
35.0,16.285,3.405,0.097,19.690,53.1,12.158,5.425,0.102,17.583,192,1,192
34.0,16.624,3.400,0.100,20.024,49.6,12.432,5.262,0.106,17.694,192,1,192
34.0,16.375,3.454,0.102,19.829,49.7,14.249,5.369,0.108,19.618,192,1,192
34.0,16.433,38.114,1.121,54.547,49.8,12.677,54.735,1.099,67.412,192,1,192
34.0,17.774,37.624,1.107,55.398,49.8,12.928,54.747,1.099,67.675,192,1,192
